Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
Tripura,81.9,24.5,998,966,91.6,92.7,87.3,61.3,31.9,99.1,58.1,80.4,89.5,23.4,32.2,22.2,1.7,18.8,27,33,64.1,42.8,13.9,0,0.6,26.3,1.9,10.7,4.1,8.2,39.6,66.4,64.3,93,13.4,7.6,83,62.1,32.6,4412,0,8.4,79.9,69.1,1.2,80.9,20.5,73.7,18.1,54.5,82.4,70.1,71.1,69.7,54.4,62.8,97.4,2,4.9,46.3,19.1,65.7,2.6,73,44.4,70.7,13.6,5.3,0,5.9,24.3,16.8,6.3,24.1,18.9,15.7,16,15.9,48.3,54.5,54.4,54.5,24.7,7.7,4,9.6,4.7,9.7,1.8,1.1,11.9,1.5,0.2,5.1,1.3,6.8,28,36.8,57.6,81.5,91.7,26.3,27.9,2.2,57.3,59.2,43.9,43.5,42.2,67.8,4.8,57.6,18.8,10.7
Telangana,62.2,25,1007,874,82.9,98.2,77.6,50.2,66.8,95.8,66.4,65.2,83.4,43.3,25.7,23.9,1.8,10.6,28,32,57.2,56.9,54.2,1.6,0.3,0.3,0.5,7.3,3.8,9.7,24.7,83.1,75,89.1,52.8,42.2,89.2,81.8,12.2,4020,9,25.3,91.5,31,2.9,91.4,58,74.9,40.6,68.1,97.4,75.4,87.9,90.6,70.6,76.3,83.7,16.1,8.4,56.8,31.6,74,2.1,76.2,37.1,67.3,57.1,9.6,11.4,9.9,28.1,18,4.8,28.5,23.1,21.4,28.1,24.2,60.7,56.9,49.8,56.7,15.4,6.8,3.9,6,4.1,7.4,1.7,1,12.2,3.3,2.7,32.3,9.5,10.5,29.5,49.8,59,81.3,81.1,45.2,43,5.9,50.5,59.7,47.8,76.3,2.8,28.3,8.8,53.9,35,42.3
Jammu and Kashmir,65.6,27.4,972,922,77.4,97.4,89.2,52.5,57.6,95.5,4.2,69,87,37.2,8.7,10.5,2,2.9,32,38,57.3,46.1,24.4,0.4,2.8,6.2,11.3,12.3,5.8,9.6,38.2,76.8,81.4,87.5,30.2,26.8,88.8,74.9,54,4192,0.9,20.3,85.7,78.1,2.2,87.6,33.1,75.5,35.1,75.1,95.6,83.8,88.1,86.2,70.3,64.7,97.5,2.1,7.5,69.1,39.1,74.2,5.4,78.5,46,65.4,50,21.8,32.1,23.5,27.4,12.1,5.6,16.6,12.1,11.5,29.1,20.5,43.3,40.4,38.1,40.3,15.1,5.6,2.4,6.3,2.8,8.9,1.8,0.9,10.9,1.7,1.1,34.5,13.6,38.9,19,24.4,68.5,83.7,84,12.4,9.4,1.3,33.3,60.3,54.2,66.5,2.8,38.2,0.1,10.5,40.5,37.2
Karnataka,70.7,24.4,979,910,94.9,97.8,89.3,57.8,54.7,86.8,28.1,71.7,85.1,45.5,23.2,10.9,1.8,7.8,28,32,51.8,51.3,48.6,0.1,0.8,0.4,1.3,10.4,6,19.8,41.5,66,70.3,88.3,45.3,32.9,89.3,65.6,19.9,3893,5.6,22.3,94.3,61.4,3.1,93.9,23.6,40.3,16.9,62.6,92.5,74.6,77.9,82.4,58.9,78.7,88.2,11.4,4.5,52.8,34.3,69.7,1.2,76.9,56.4,54.2,46,5.8,14.4,8.2,36.2,26.1,10.5,35.2,20.7,16.5,23.3,22.1,60.9,44.8,45.4,44.8,18.2,6.3,3.2,8.4,3.7,7.1,1.9,0.7,12,2.2,1.2,15.6,12.8,16.8,9.5,26.3,50,65.9,80.4,29.1,20.5,6.5,51.8,59.4,47.1,70.3,4.2,34.3,1,29.3,25.5,29.6
Himachal Pradesh,79,24.6,1078,936,95.3,99.5,94.9,70.7,36.7,99.1,25.8,88.2,96.2,59.4,8.6,7.3,1.9,2.6,34,38,57,52.1,34.5,2.4,0.9,1.5,12.7,15.7,4.8,15.8,40.1,70.5,69.1,86.3,49.4,36.9,95.4,70.2,13.1,3329,1.5,29,76.4,61.6,3.4,78.9,16.7,44.4,16.4,69.5,94.8,82.4,85,87.5,74.1,64.3,97.9,1.9,6.6,62.7,15,67.7,1.6,78.4,41.1,67.2,52.7,11.2,9.9,10.9,26.3,13.7,3.9,21.2,16.2,18,28.6,22,53.7,53.6,50.2,53.4,20.1,5.9,3,6.8,2.6,9.4,1.8,0.9,17,3.8,1.1,23.7,9.6,26.6,30.9,44.5,68.6,89.1,90.8,17,5.9,1.5,11.3,68.8,73.9,84.3,0.5,40.5,0.3,39.7,47.2,40
Maharashtra,77.4,24.5,952,924,95.1,92.5,91.5,51.9,59.9,96.4,15,80.3,92.8,42,25.1,16.7,1.9,8.3,24,29,64.8,62.6,50.7,0.4,1.6,2.4,7.1,9.7,4.3,18.5,36.1,67.6,72.2,90.4,40.6,32.4,90.9,78.5,8.7,3487,6.4,30.5,90.3,48.9,3.6,91.1,20.1,33.1,13.1,56.3,90,67,74.9,82.8,60.8,70.5,86.2,13.6,8.5,60.5,13,77.6,2.4,84.7,57.5,56.6,43.3,5.3,12.2,6.5,34.4,25.6,9.4,36,23.5,19.1,23.4,23.8,53.8,47.9,49.3,48,17.6,5,2.3,5.9,2.5,7.1,1.4,0.6,11.5,3.6,0.8,42.5,22.1,16.4,30,44.4,67.9,86.2,89.3,28.9,21.4,2.9,34.3,45.3,45.6,66.1,5.8,36.5,0.2,20.5,28,31.1
Tamil Nadu,77.2,23.3,1033,954,98.3,98.8,90.6,52.2,73,82.8,64.1,79.4,89.1,50.9,15.7,17,1.7,5,21,27,53.2,52.6,49.4,0,1.9,0.2,0.8,10.1,4.8,30.2,76.7,64,81.2,71,64,45,96,74.1,29.5,2496,11.3,35.4,99,66.7,0.6,99.3,34.1,51.3,26.3,69.7,94.9,82.3,84.5,85.1,68.2,68.3,86.1,14,8,61.8,41.3,73.2,2.8,82.2,54.7,48.3,67.5,21.4,47.1,30.7,27.1,19.7,7.9,23.8,14.6,12.4,30.9,28.2,50.7,55.4,44.4,55.1,20.4,7.1,3.9,9.7,5.6,6.2,1.6,0.5,11.5,2.8,1.2,23.1,15.4,12.1,16,10.9,64.7,79.7,84,30.5,40.6,6.2,36.2,77,62,91.4,2.2,31.7,0.4,46.7,40.4,23.3
Assam,75,30.3,993,929,94.2,78.2,83.8,47.7,25.1,99.6,10.4,71.8,82.8,26.2,32.6,23.3,2.2,13.6,48,56,52.4,37,9.5,0.1,2.2,22,2.7,14.2,5.8,17.2,55.1,55.1,46.5,89.9,32,18.1,96.3,54,66.1,3210,1.9,22.9,70.6,60,3.9,74.3,13.4,53.3,12.9,47.1,82.3,56,66.5,71.4,52,51.3,93.3,5.3,2.9,51.9,22,50.8,1,46.8,64.4,63.5,49.9,8.7,10.8,8.9,36.4,17,6.2,29.8,25.7,20.7,13.2,12.9,35.7,46.1,44.8,46,25.4,5.2,2.4,6.6,3.3,11.7,3,1.3,15,3.1,1.5,5.2,5.2,6,9.4,22.4,44.6,70.6,87.4,17,24.5,2.1,52.3,45.4,46,44.8,19.7,63.9,6.9,35.6,9.2,14.1
Meghalaya,83,36.5,1005,1009,79.8,91.4,67.9,60.3,21.8,99.1,34.6,82.8,84,33.6,16.5,19.6,3,8.6,30,40,24.3,21.9,6.2,0,2.1,11.7,1.3,21.2,15.3,24.2,61.8,53.3,50,79.3,36.2,23.5,93.6,47.5,28,2892,1.4,9,51.4,39.4,2.6,53.8,7.6,31.4,9.8,61.5,86,71,74,71.9,62.9,54.4,92.4,4.9,10.6,77.5,58,70,5.8,74.9,60.6,35.8,67.4,24.2,19.8,23.6,43.8,15.3,6.5,29,12.1,11.6,12.2,10.1,48,56.5,53.1,56.2,32.4,4.3,1.8,6.4,2.9,7.2,1.9,0.8,7.9,1.5,1,19.8,12.4,16.5,13.3,14.1,47,52.1,91.4,35.9,28.7,0.4,57.3,54.4,64.3,63.7,32.3,72.2,2.1,44.6,29.4,17.8
Rajasthan,57.2,31.2,973,887,66.6,91,85.5,45,31.8,93.5,18.7,56.5,85.4,25.1,35.4,35.7,2.4,6.3,41,51,59.7,53.5,40.7,0.2,1.2,2.4,8.7,12.3,5.7,17.5,43.5,63,38.5,89.7,17.3,9.7,92.3,63.7,56.1,3052,1.2,22.6,84,63.5,3.2,86.6,8.6,23.2,6.1,54.8,88.8,65.4,71.6,78.1,53.1,39.6,94.4,4.4,7.4,56.2,17.5,73.9,2.1,82.6,28.4,58.2,30.1,3.4,3.7,3.4,39.1,23,8.6,36.7,27,22.7,14.1,13.2,60.3,46.8,46.6,46.8,17.2,3.5,1.2,5.7,2.4,5.5,0.9,0.5,10.2,1.7,0.5,18.9,4.8,8,19.1,37.4,50.4,79.1,81.7,18.6,25.1,1.4,24.1,58.2,41.4,55.2,6.3,46.9,0.1,15.9,37,25.8
Puducherry,81.4,23.7,1068,843,99,99.6,95.4,65,84.8,92.7,32.8,85,91.9,60.3,10.7,6.3,1.7,3.5,16,16,61.9,61.2,57.4,0,2.6,0.4,0.8,8.3,4.8,35.9,71.7,80.6,87.7,82.1,66.3,55.6,98,84.9,21.4,1999,0,36,99.9,82,0.1,100,33.6,48.3,30.4,91.3,99.9,95.4,96,95.4,89.4,75,89.7,10.3,11.3,71.2,69.6,73.6,3,74,65.3,45.5,76.8,21.8,54.8,31.1,23.7,23.6,7.8,22,11.3,10.2,36.7,37.1,44.9,53.4,26,52.4,15.9,7.3,4.4,7.5,5.1,6.8,1.6,0.7,11.5,2.4,1.2,20.7,15.1,10.7,25.4,18,72.7,84.6,85.1,21.2,34.5,4.6,40.3,68.2,67.3,96.9,1.1,14.4,0.6,41,42,11.8
Sikkim,79.7,23.1,942,809,98.5,99.4,97.6,88.2,59.1,99.6,30.3,86.6,91.5,40.7,14.5,18.5,1.2,2.8,29,32,46.7,45.9,17.6,3.4,6.3,11.6,5.2,21.7,8.9,19.6,57.1,76.2,74.7,97.2,52.8,39,99.1,74.2,29.4,2509,0,12.8,94.7,82.7,2.4,97.1,20.9,49.3,18.1,83,98.9,87.7,93,93.3,84.1,84.3,94.1,5.9,1.8,0,0,0,0.3,63.8,66.5,54.6,61.8,23.1,0,23.1,29.6,14.2,5.9,14.2,6.4,2.4,26.7,34.8,55.1,35.2,23.6,34.9,15.7,6.7,2.9,8.9,3.8,11.7,3.1,1.7,19.6,4.7,3,12.8,6.8,32.1,25.5,36.1,62.7,72.8,95.3,19.9,2.6,0.4,24.8,63.5,79.8,84.6,7.3,40.3,23,51.2,20,13.5
Andhra Pradesh,62,23.7,1020,914,82.7,98.8,72.7,53.6,62,81.6,74.6,62.9,79.4,34.3,32.7,23.5,1.8,11.8,35,41,69.5,69.4,68.3,0.6,0.2,0.2,0.2,4.7,3.1,19.7,24.6,82.4,76.3,95,56.2,43.9,92.6,79.7,17.4,2138,9.3,28.5,91.6,38.3,3.7,92.2,40.1,57,25.5,65.3,97.3,72.3,89,89.4,68.8,72.1,91.6,8.4,6.6,47.6,30.1,72.7,0.5,77.3,40.1,70.2,56.1,6.5,11.9,7.6,31.4,17.2,4.5,31.9,17.6,14.8,33.2,33.5,58.6,60.2,52.9,60,26.9,8.2,4.9,9.8,5.9,7.6,1.7,0.7,11,3.6,1.6,33.6,5.1,12.5,29,55.5,57.5,83.4,79.9,42.1,43.2,4.8,44.7,66.3,36.2,67.5,2.3,26.8,0.4,34.9,37.8,33.1
