Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
Chandigarh,83.7,22.9,934,981,95.1,99.6,99.5,82.9,93.9,99,21.3,83.2,87.7,59.2,12.7,0,1.6,2.1,0,0,74,58.2,20.6,1.3,5.4,3.6,27.3,6.3,1.8,25.1,62.6,67.4,64.5,95.1,44.9,34.7,98,89,13.7,2357,0,50.5,91.6,72.4,1.7,93.3,22.6,44,19.5,79.5,95.9,79.5,95.9,95.9,82.7,56.3,93.1,6.9,4.6,0,0,0,2.8,0,33.5,0,0,0,0,0,28.7,10.9,3.9,24.5,13.3,21.7,41.5,32,73.1,75.9,0,75.9,19.3,5.6,2.5,6.9,4.2,7.4,1.5,0.4,10.6,2.9,0,53.3,19.3,39.3,41.1,66.4,87.6,92.9,96.6,32.6,22.5,3.5,21.6,79.6,74.2,92.1,0.4,22.5,0.5,39.3,0,21.7
Uttarakhand,72.7,28.9,1015,888,76.7,97.5,92.9,64.5,51,95.3,19.5,76.5,90.7,44.6,13.9,20.9,2.1,2.9,40,47,53.4,49.3,27.4,0.7,1.6,3.2,16.1,15.5,5.2,15.1,45,53.5,30.9,91.4,24.9,11.5,93.4,54.8,49.4,2399,2.4,19.3,68.6,43.8,4.6,71.2,13.1,36.4,9.3,57.7,92.9,68,80,80.6,59.4,36.9,91,6.3,17,56.1,30.4,73.6,4.6,78.9,27.8,51,46.7,8.6,7.9,8.5,33.5,19.5,9,26.6,18.4,16.1,20.4,17.7,59.8,45.1,46.5,45.2,15.5,6.1,2.5,8.8,4.6,7.2,1.6,0.8,13.1,3.3,0.8,16.7,8.5,12.4,28.6,36.5,65.3,83.2,89.8,15.5,12.7,1.4,29.2,58.5,55.4,69.9,2.9,43.7,0.3,35.2,49.3,33.7
Punjab,76,23.2,905,860,98.3,99.6,99.1,81.5,65.9,98.4,21.2,81.4,87.5,55.1,7.6,11.1,1.6,2.6,29,33,75.8,66.3,37.5,0.6,6.8,2.5,18.9,6.2,2.4,29.4,79.2,75.6,68.5,92.9,42.6,30.7,95.1,87.2,19.1,1890,2.8,47.2,90.5,51.7,4.5,94.1,24.6,39.7,17.8,89.1,98.2,93.7,94.5,93.1,91,70.6,89,11,6.6,66.2,26.7,87.2,4.1,90.3,30.7,53,41.1,5.7,6.7,5.9,25.7,15.6,5.6,21.6,11.7,10.9,31.3,27.8,56.6,54,42,53.5,25.9,6.1,2.6,6.7,2.9,10.5,2,0.7,17.4,3.1,1.3,38,21.1,37.6,49.3,62.3,87.7,94.1,90.2,18.5,20.5,2.3,32.1,58.8,57.2,84.4,0.1,19.2,0.1,34,16,24.4
Gujarat,72,26,950,907,95.8,96,90.9,64.3,52.6,95.5,23.1,72.9,89.6,33,24.9,28.4,2,6.5,34,43,46.9,43.1,33.6,0.1,3,1.4,4.9,17,6.7,18.9,47,73.9,70.6,86.8,36.8,30.7,89,63.4,8.9,2136,3.7,15.8,88.7,32.6,2.2,87.3,18.4,26.6,10.8,50.4,87.9,62.3,72.7,75,38.6,71.2,87.1,12.6,8.4,46.2,17.4,65.4,1.4,70.2,50,55.8,49.4,5.8,2.8,5.2,38.5,26.4,9.5,39.3,27.2,24.7,23.7,19.7,62.6,55.1,51.3,54.9,21.7,5.8,2.7,7.6,3.5,7.4,1.5,0.8,9.9,2.3,0.8,25.2,7.5,12.5,18.4,31.4,43.2,68.6,85.4,30.2,20.1,1.8,27.2,48.6,47.9,60.3,7.4,51.4,0.3,11.1,36.9,40.4
Chhattisgarh,67.6,29.2,1019,977,86.1,95.6,91.1,32.7,22.8,99.1,68.5,66.3,85.7,26.5,21.3,26.9,2.2,4.8,54,64,57.7,54.5,46.2,0.7,1.6,1.7,3.9,11.1,5.3,28.5,54.7,70.8,59.1,94.3,30.3,21.7,91.4,63.6,66.2,1480,4.7,34.2,70.2,55.9,8.4,78,9.9,46.6,5.7,76.4,98.4,81.7,91.4,93.9,76.4,70.2,96.4,3.6,9.1,67.9,28.9,71.3,2.2,70.1,47.1,77.2,53.8,11.1,8.4,10.9,37.6,23.1,8.4,37.7,26.7,24.1,11.9,10.2,41.6,47.3,41.5,47,22.2,5.7,2.6,9.7,4.6,6.8,1.3,0.7,9.5,2.3,0.9,17.5,7.3,8.2,20.7,35.8,57.5,82.8,90.5,36.8,36.7,4.9,26.4,51.3,31,47.1,21.6,55.2,5,52.7,28.8,31.6
Andaman and Nicobar Islands,84.7,23.9,977,859,97.9,97,94.3,74.3,63.5,99.3,5.7,84.1,88.5,49.1,17.1,14.9,1.5,4.7,10,13,50.8,48.3,39.9,0,2.1,2.2,4.2,15.5,8.1,37.2,65,68.4,92.1,91.8,58.4,53.6,97.7,75,1.4,1258,0,23.1,96.6,92.3,1,97.5,19.3,0,16.9,73.2,87.4,83.9,83.5,76.4,83.1,69.3,94.4,5.6,5.3,65,8.3,53.5,1.5,75.8,41.9,66.8,45.1,13.5,17.6,14.2,23.3,18.9,7.5,21.6,13.1,8.7,31.8,38.2,49,65.8,61.4,65.7,30.8,9.3,5.2,16.5,9.5,7.1,1.3,0.6,20.9,3.3,3.7,22.7,12.4,23.3,29.3,44,59.5,75.3,92.6,21,18.3,3.2,29.7,81.8,66.9,90.3,25.1,61.6,2.5,51.7,19.9,33.4
Uttar Pradesh,63,33.8,995,903,60.2,70.9,96.4,35,32.7,93.7,6.1,61,82.4,32.9,21.2,28.6,2.7,3.8,64,78,45.5,31.7,17.3,0.1,1.2,1.9,10.8,18.1,6.8,12.8,47.5,45.9,26.4,86.6,12.9,5.9,79.8,54,48.7,1956,0.8,24.4,67.8,44.5,4.1,70.4,9.4,31.3,4.7,51.1,87.6,68.3,66.5,70.8,52.8,39.5,84.5,5.1,15,37.9,12.6,66.7,4.7,71.3,25.2,41.6,32.6,5.3,5.3,5.3,46.3,17.9,6,39.5,25.3,25.9,16.5,12.5,63.2,52.5,51,52.4,23.7,5,2.2,7.1,3.1,5.9,1.1,0.6,8.2,1.4,0.5,13,4.3,7.4,17.5,26.2,47.4,73,81.7,16.6,36.7,4.3,34.2,54.6,37.1,47.1,7.6,53,0.2,22.1,36.6,38.7
Haryana,70.3,27.8,876,836,94.2,98.8,91.7,79.2,52.2,92.8,12.2,75.4,90.6,45.8,18.5,31.3,2.1,5.9,33,41,63.7,59.4,38.1,0.6,5.7,2.7,12,9.3,3.8,23,63.3,63.2,45.1,92.3,32.5,19.5,92,67.3,13.5,1503,1.4,21.4,80.5,52,5.8,84.7,11.7,25.3,8.6,62.2,92.8,75.3,76.5,79,54.3,66.7,94.8,5.1,7.7,60.6,21.9,77.3,3.2,80.1,42.4,50.3,35.9,7,10,7.5,34,21.2,9,29.4,15.8,11.3,21,20,71.7,63.1,55,62.7,20.9,4.8,1.8,6.1,2.1,7.6,1.1,0.5,14.4,1.8,0.6,32.8,15.7,26.6,31.1,48.5,71.6,87.8,76.7,17.6,32,4.9,35.8,45.6,50.5,78.4,1.6,35.8,0.1,24.5,34.2,17.2
Bihar,56.9,39.3,1062,934,60.7,58.6,98.2,25.2,17.8,93.6,12.3,49.6,77.8,22.8,39.1,40,3.4,12.2,48,58,24.1,23.3,20.7,0,0.5,0.8,1,21.2,9.4,12,34.4,34.6,14.4,89.6,9.7,3.3,79.9,42.3,53.9,1724,1.8,10.8,63.8,47.7,8.2,70,6.2,31,2.6,61.7,91.7,72.9,80.2,79.4,65.5,62.3,95.5,3.9,10.4,45.2,20.1,54.8,2.5,59.8,34.9,53.5,30.7,7.3,9.2,7.5,48.3,20.8,7,43.9,30.4,25.4,11.7,12.6,63.5,60.4,58.3,60.3,32.2,4.2,1.9,6.7,3.3,4.4,0.9,0.6,7.6,1.3,0.5,12.1,4.5,5.8,10.1,26.2,33.5,67,75.2,12.5,43.2,4.8,58.8,26.4,40.9,31,2.8,50.1,0.2,28.9,25.8,32.3
Madhya Pradesh,64,30.3,948,927,81.9,89.9,84.7,33.7,29.6,93.2,17.7,59.4,81.8,23.2,30,39.5,2.3,7.3,51,65,51.4,49.6,42.2,0.5,0.5,1.3,4.9,12.1,5.7,20.4,39.4,53.1,35.7,89.8,23.6,11.4,92.2,55,61.1,1387,2.5,17.5,80.8,69.5,2.3,78.1,8.6,40.8,5.8,53.6,91.6,63.6,73.4,79.6,56.3,60.4,95.7,3.7,9.5,55.2,26.6,68.2,2.1,70.9,34.5,58.2,38.1,6.9,4.8,6.6,42,25.8,9.2,42.8,28.3,28.4,13.6,10.9,68.9,52.4,54.6,52.5,25.5,5.1,2.1,6.7,2.9,6.1,1.2,0.6,8.2,2,0.7,24,10.4,12.3,18.1,29.3,46.8,70.1,82.8,29.9,33,3.3,43.5,37.3,28.7,37.6,10.4,59.5,1.6,29.6,38.5,37.2
Jharkhand,61.1,32.9,1002,919,65,80.1,77.8,24.4,18.9,97.6,13.3,59,79.7,28.7,38,30.2,2.6,12,44,54,40.4,37.5,31.1,0.2,1,2.6,2.2,18.4,9,19.6,39.4,52,30.3,91.8,15.3,8,86.9,44.4,41.6,1476,2.2,21.7,61.9,41.8,8,69.6,9.9,39.5,4.6,61.9,95.8,73.8,82.4,82.6,56.4,52.9,95.3,4.6,6.9,44.8,19.1,56.7,3.2,67.2,33.2,64.8,47.2,7.2,7.1,7.2,45.3,29,11.4,47.8,31.5,23.8,10.3,11.1,69.9,65.3,62.6,65.2,29.9,4.9,2.1,7.7,3.4,5.9,1.2,0.7,9.3,2,0.9,10.5,4.2,4.1,15.8,18,45.5,67.9,86.6,24.8,34,2.8,49.7,45.1,35.2,49.6,5.8,48.6,4.1,39.3,18.7,27.2
Daman and Diu,81.1,22,734,923,91.5,100,89.4,60.4,73.6,96.6,17,83.1,89.7,49.2,25.4,23,1.7,4.5,34,34,32.3,31.6,25.7,0,2.4,1.3,2.2,19.7,11,20.1,38.6,75.1,62.7,71.1,38.3,29.9,86.4,60.1,19.3,1581,1.2,19.4,90.1,43,1.4,77,15.8,26.8,7.3,66.3,84.3,74.4,74,79.1,60.6,68.4,72.2,27.9,3.8,0,0,0,0.6,94.5,55.8,52.3,0,6.2,7.4,6.5,23.4,24.1,11.9,26.7,12.9,12,31.6,30.7,73.8,59.3,0,58.9,23.6,5.5,2.2,8.8,5.6,5.1,1.7,0.6,6.5,0.6,0.5,38.2,24.8,16.7,27.9,11.5,63.2,56.3,86.7,19.5,26.6,6.7,27,61.9,60.6,73.2,0.5,32.2,1.4,35.8,0,13.5
Dadra and Nagar Haveli,68.9,28.9,858,1013,93.6,97.4,77.5,35.4,56.1,70.7,30.8,62.5,82.6,35.8,27.5,35.6,2.3,10.3,33,42,38.1,37.9,31.7,0,1.4,1.2,3.7,19.6,10.6,13,45.2,63.6,75.6,86.8,43.9,33.1,91.2,66.7,2.6,471,7.7,20.7,88,66.4,1.9,89.5,16.2,38.4,12,43.2,88.9,58.1,73.3,81.7,52.1,59.3,90.2,9.8,4.2,0,0,0,1.9,0,47.8,72.7,0,0,0,0,41.7,27.6,11.4,38.9,28.5,19.7,19.2,22.9,84.6,80,67.9,79.5,30.7,4.7,2,8.7,6.9,5.6,1.2,0.6,9.8,1.7,0.6,16.7,4.6,9.9,9.3,11.2,34.7,40,78.5,19.1,33.2,4.7,21.8,36.9,36.9,57.1,2.1,39.9,0,33.9,0,12.9
